,yaw,pitch,roll,g_x,g_y,g_z,a_x,a_y,a_z
268,-0.05,16.28,93.31,115.65,133.62,-0.1,0.3,-0.98,-0.06
269,20.45,31.48,150.02,250.13,63.2,78.64,-0.19,-1.25,0.65
270,21.88,22.77,165.28,80.02,-24.73,84.47,-0.04,-0.81,0.68
271,0,-0.93,21.1,2.08,1.19,-3.6,0.31,0.32,0.36
272,-29.7,-9.48,145.13,-44.31,-117.56,-11,0.42,0.52,0.67
273,11.26,-15.38,97.12,-171.57,-16.57,43,0.14,0.5,0.38
274,39.46,5.78,45.02,-182.33,82.48,151,0.39,0.13,0.25
275,-1.86,19.1,42.12,6.91,57.21,-7.14,0.03,-1.54,0.63
276,-58.44,64.6,31.45,-27.63,192.02,-225,0.35,-1.06,0.14
277,-47.04,93.73,52.99,93.07,132.69,-180,0.97,-1.29,-0.06
278,-15.04,94.34,63.14,44.96,20.84,-58.05,0.29,-0.1,0.4
279,6.45,87.82,61.63,-2.67,-10.35,24.9,0.29,0.38,0.67
280,42,56.43,58.69,-3.37,-103.6,162,0.07,0.59,0.65
281,55.35,81.45,45.12,-43.04,118.6,212,0.67,0.13,0.48
282,39.26,46.41,45.01,16.5,-123.2,151,1.09,-0.27,0.63
283,-4.24,54.39,45.32,20.25,41.89,-16.31,0.64,-1.14,-0.16
284,-21.9,81.81,100.03,235.14,119.98,-84,0.28,-0.99,0.1
285,58.88,99.49,120.84,105.53,80.31,226.4,0.17,-1.27,1.1
286,15.25,85.77,120.34,10.39,-36.02,58.86,-0.24,-0.38,0.42
287,-7.92,72.45,113.12,-16.02,-38.89,-30,0.25,0.51,0.47
288,-27.56,55.56,69.03,-156.11,-48.05,-10,0.08,0.56,0.67
289,53.16,29.27,7.83,-228.47,-89.67,205,0.42,-0.11,0.35
290,7.35,21.8,1.75,-12.62,-21.32,28.2,1.09,-1.02,0.45
291,-16,52.34,-1.97,-3.97,129.71,-61.7,0.49,-1.09,0.06
292,-64.7,87.01,-23.16,-79.63,156.43,-250,0.41,-1.05,-0.19
293,-28,113.95,-11.47,39.79,128.56,-107,0.92,-0.68,0.03
294,1.07,114.21,-3.07,24.65,19.25,4.12,0.46,0.25,0.45
295,12.05,109.23,0,5.19,0.58,46.54,-0.02,0.64,0.64
296,64.78,65.11,1.29,7.44,-147.65,250.1,0.22,0.6,0.65
297,47.86,53.7,23.5,96.44,-27.99,184.7,1,-0.25,0.03
298,-2.38,61.03,18.46,-3.86,39.65,-9.15,1.07,-1.01,-0.18
299,-4.23,97.35,25.26,42.48,158.19,-16.3,0.19,-1.04,-0.1
